sheet_name,workbook_product_name,workbook_form,source_family,source_product_name,source_url,ingredient_group,ingredient_name_raw,cas_number,function,designated_list_flag,designated_list_text,position,notes
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,Sodium carbonate,497-19-8,Builder,No,No,1,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,Sodium carbonate peroxide,15630-89-4,Oxygen bleach,No,No,2,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,Acrylic acid homopolymer,68479-09-4,Dispersing agent,No,No,3,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,C10-16 alketh could include: | C12-15 alcohols ethoxylated | C10-16 alcohol ethoxylate | C12-16 alcohols ethoxylated 7EO,68131-39-5 | 68002-97-1 | 68551-12-2,Surfactant,No,No,4,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,Protease enzyme,9014-01-1,Enzyme,Yes,EU Respiratory Sensitizer,5,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,Disodium distyrylbiphenyl disulfonate,27344-41-8,Brightening agent,No,No,6,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,Amylase enzyme,9000-90-2,Enzyme,Yes,EU Respiratory Sensitizer,7,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,intentionally_added,Fragrances,See below,Fragrances,Yes,See below,8,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,fragrance,"2,6-Dimethyl-7-octen-2-ol",18479-58-8,,No,No,1,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,fragrance,Butylphenyl methylpropional,80-54-6,,Yes,EU Fragrance Allergens. | EU CMRs.,2,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,fragrance,Dipropylene glycol,25265-71-8,,No,No,3,
Boosters - North America,OxiClean White Revive,powder,church_dwight,OxiClean™ White Revive™ Whitener and Stain Remover,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/40501171-oxiclean-white-revive-whitener-and-stain-remover.aspx,fragrance,Hexamethylindanopyran,1222-05-5,,Yes,US EPA PBTs.,4,
Boosters - North America,OxiClean Versatile Free,powder,church_dwight,OxiClean™ Laundry Stain Remover Free,https://churchdwight.com/ingredient-disclosure/laundry-fabric-care/42015223-Oxiclean-Laundry-Stain-Remover-Free.aspx,intentionally_added,Water,7732-18-5,Solvent,No,No,1,
